State,Refiner,Location,Atmospheric_Crude_Oil_Distillation_Capacity_Barrels_per_Calendar_Day_Operating,Atmospheric_Crude_Oil_Distillation_Capacity_Barrels_per_Calendar_Day_Idle,Atmospheric_Crude_Oil_Distillation_Capacity_Barrels_per_Stream_Day_Operating,Atmospheric_Crude_Oil_Distillation_Capacity_Barrels_per_Stream_Day_Idle,Downstream_Charge_Capacity_Vacuum_Distillation,Downstream_Charge_Capacity_Thermal_Cracking_Delayed_Coking,Downstream_Charge_Capacity_Thermal_Cracking_Fluid_Coking,Downstream_Charge_Capacity_Thermal_Cracking_Visbreaking,Downstream_Charge_Capacity_Other_Gas_Oil,Catalytic_Cracking_Charge_Capacity_Fresh_Feed,Catalytic_Cracking_Charge_Capacity_Recycled_Feed,Catalytic_Cracking_Charge_Capacity_Distillate,Catalytic_Cracking_Charge_Capacity_Gas_Oil,Catalytic_Cracking_Charge_Capacity_Residual,Hydrocracking_Charge_Capacity_Low_Pressure,Hydrocracking_Charge_Capacity_High_Pressure,Fuels_Solvent_Deasphalting_Capacity,Desulfurization_Capacity_Naphtha_Reformer_Feed,Desulfurization_Capacity_Gasoline,Desulfurization_Capacity_Kerosene_Jet_Fuel,Desulfurization_Capacity_Diesel_Fuel,Desulfurization_Capacity_Other_Distillate,Desulfurization_Capacity_Residual,Desulfurization_Capacity_Heavy_Gas_Oil,Desulfurization_Capacity_Other
Alabama,Goodway Refining LLC,Atmore,4100,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Hunt Refining Co,Tuscaloosa,50000,0,52500,0,26000,38500,0,0,0,0,0,0,24000,0,19500,0,0,19500,0,3500,0,28500,0,10500,0
Alabama,Vertex Refining Alabama LLC,Saraland,88000,0,91200,0,29000,0,0,0,0,0,0,0,30000,0,0,22000,0,26700,0,18000,17000,0,0,0,0
Alaska,ConocoPhillips Alaska Inc,Prudhoe Bay,15000,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Hilcorp North Slope LLC,Prudhoe Bay,6500,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Petro Star Inc,North Pole,24000,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Petro Star Inc,Valdez,62500,0,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Tesoro Alaska Company LLC,Kenai,68000,0,72000,0,26000,0,0,0,0,0,0,0,13000,0,13500,0,0,13000,0,0,11500,0,0,0,0
Arkansas,Cross Oil Refining & Marketing Inc,Smackover,7500,0,7700,0,3850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000
Arkansas,Lion Oil Co,El Dorado,83000,0,85000,0,45000,0,0,0,0,21000,0,0,0,0,15300,0,0,20000,8750,0,35000,0,0,21000,8000
California,Chevron USA Inc,El Segundo,285000,0,290500,0,169100,76700,0,0,0,73800,0,0,55000,0,49000,0,0,62500,0,41500,51500,14000,0,74000,0
California,Chevron USA Inc,Richmond,245271,0,257200,0,123456,0,0,0,0,90000,0,0,103400,0,71300,0,56000,57600,64800,96000,64800,0,0,65000,34000
California,Kern Oil & Refining Co,Bakersfield,26000,0,27000,0,0,0,0,0,0,0,0,0,0,0,2500,3300,0,5000,0,0,0,9000,0,0,0
California,Lunday Thagard Co,South Gate,8500,0,10000,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Martinez Refining Co LLC,Martinez,156400,0,157000,0,101000,26800,22500,0,0,72000,0,42900,0,0,31000,0,0,28000,90000,0,0,49500,0,80500,14500
California,Phillips 66 Company,Wilmington,138700,0,156000,0,83400,51900,0,0,0,51600,0,27500,0,0,0,40000,0,57500,0,12900,32000,0,0,55500,0
California,San Joaquin Refining Co Inc,Bakersfield,15000,0,25000,0,14300,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,1800,0
California,Talley Asphalt Products Inc,Kern,1700,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Tesoro Refining & Marketing Co,Carson,365000,0,384500,0,205000,109100,0,0,0,110000,0,100500,0,0,0,83000,0,79000,17000,38500,24000,0,0,147000,0
California,Torrance Refining Co LLC,Torrance,160000,0,166200,0,102300,62000,0,0,0,90000,13600,28300,0,0,0,0,0,25300,0,0,19800,0,0,108300,0
California,Ultramar Inc,Wilmington,85000,0,87000,0,46000,28800,0,0,0,56300,0,0,0,0,18000,0,0,32000,0,0,45000,0,0,67000,0
California,Valero Refining Co California,Benicia,145000,0,150000,0,85500,0,29500,0,0,75300,0,34000,0,0,0,37200,0,30000,43200,15400,15000,5000,0,39000,21700
California,Valero Refining Co California,Wilmington,6300,0,6500,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,Suncor Energy (USA) Inc,Commerce City East,36000,0,38700,0,8500,0,0,0,0,9000,500,0,0,0,11000,0,0,11000,0,0,0,0,0,0,0
Colorado,Suncor Energy (USA) Inc,Commerce City West,67000,0,73000,0,25000,0,0,0,0,21000,0,0,0,0,10900,0,0,11000,0,12100,23330,0,0,30000,0
Delaware,Delaware City Refining Co LLC,Delaware City,171000,0,180000,0,104600,0,54500,0,0,82000,4000,0,24000,0,43000,0,0,58800,33000,16500,52000,0,0,0,20000
Hawaii,Par Hawaii Refining LLC,Kapolei,93500,0,95000,0,40000,0,0,11000,0,0,0,2000,18000,0,13500,0,0,13000,0,0,0,0,0,0,0
Illinois,ExxonMobil Refining & Supply Co,Joliet,264000,0,275000,0,143800,58500,0,0,0,100300,0,0,0,0,52600,0,0,179300,0,0,89100,0,0,0,0
Illinois,Marathon Petroleum Co LP,Robinson,253000,0,266000,0,76000,31000,0,0,0,54500,0,0,44000,0,82000,0,0,71000,46000,0,84000,0,0,0,0
Illinois,PDV Midwest Refining LLC,Lemont,188023,0,197919,0,77200,41220,0,0,0,69500,0,0,0,0,0,35800,0,111300,0,13700,97160,0,0,0,6800
Illinois,WRB Refining LP,Wood River,345000,0,384220,0,206560,77190,0,0,0,103000,0,0,63770,0,81930,0,0,89370,76190,53250,63079,0,0,0,11000
Indiana,BP Products North America Inc,Whiting,435000,0,440000,0,276200,102000,0,0,0,177000,0,0,0,0,0,67000,0,122700,97000,51400,121500,0,0,192000,0
Indiana,Countrymark Refining & Logistics LLC,Mount Vernon,34500,0,35800,0,14500,0,0,0,0,9000,200,0,0,0,6850,0,0,11700,6700,0,16300,0,0,0,0
Kansas,CHS McPherson Refinery Inc,McPherson,114200,0,117100,0,52500,27500,0,0,0,24800,500,0,43000,0,28500,0,0,42400,0,0,47000,0,0,0,0
Kansas,CVR Refining CVL LLC,Coffeyville,132000,0,136000,0,46000,25000,0,0,0,36900,0,0,0,0,26500,0,0,38000,22000,9000,34000,27800,0,0,0
Kansas,HF Sinclair El Dorado Refining LLC,El Dorado,162000,0,165000,0,65000,22500,0,0,0,44000,0,0,0,0,7500,23500,0,50000,27000,12000,54000,0,0,50000,0
