Code,Commodity,All Traffic Directions CY2023,All Traffic Directions CY2022,All Traffic Directions CY2021,All Traffic Directions CY2020,All Traffic Directions CY2019,Intraport CY2023,Intraport CY2022,Intraport CY2021,Intraport CY2020,Intraport CY2019,Receipts CY2023,Receipts CY2022,Receipts CY2021,Receipts CY2020,Receipts CY2019,Shipments CY2023,Shipments CY2022,Shipments CY2021,Shipments CY2020,Shipments CY2019
0,All Commodities,85260786,92958926,91501826,79178087,80376848,340758,248481,384064,166938,31334,61836270,68224394,67352319,57217641,57246803,23083758,24486051,23765443,21793508,23098711
1100,Coal & Lignite,658536,1052941,1026372,449145,1449431,0,0,0,0,0,518,6365,8691,11511,9498,658018,1046576,1017681,437634,1439933
1200,Coal Coke,0,84891,36377,12032,24382,0,0,0,0,0,0,0,1,15,0,0,84891,36376,12017,24382
2100,Crude Petroleum,29165480,28611315,26780341,22260054,25302056,0,0,0,0,14292,28846409,28611315,26780062,22226436,25256641,319071,0,279,33618,31123
2211,Gasoline,839873,1312073,1435776,1731071,942115,0,0,0,19948,0,425105,996827,856542,890936,920185,414768,315246,579234,820187,21930
2221,Kerosene,121310,53233,182323,188041,270885,0,0,0,0,0,12295,48981,139700,53031,270870,109015,4252,42623,135010,15
2330,Distillate Fuel Oil,4394504,3628965,3029339,1225482,2592497,12281,0,1624,6981,12028,3123439,2516315,2637675,946549,1554077,1258784,1112650,390040,271952,1026392
2340,Residual Fuel Oil,1167900,1366326,1846690,1496091,1061042,328477,248481,382440,140009,1468,701069,945041,1163969,1147431,835448,138354,172804,300281,208651,224126
2350,Lube Oil & Greases,24952,28648,15553,47508,62122,0,0,0,0,0,24014,27318,8298,32983,39573,938,1330,7255,14525,22549
2410,Petro. Jelly & Waxes,23463,40734,46359,43495,113198,0,0,0,0,0,22838,39766,45534,29256,27836,625,968,825,14239,85362
2429,Naphtha & Solvents,18537,41450,81386,426259,135940,0,0,0,0,0,18258,18197,80143,375521,108269,279,23253,1243,50738,27671
2430,Asphalt; Tar & Pitch,2928,4236,1070,1663,958,0,0,0,0,0,1933,86,175,170,632,995,4150,895,1493,326
2540,Petroleum Coke,5277593,5488566,4910828,4850088,5085080,0,0,0,0,0,283,208,62,405,895,5277310,5488358,4910766,4849683,5084185
2640,Hydrocarbon & Petrol Gases; Liquefied and Gaseous,6593,7344,6665,12937,11401,0,0,0,0,0,6500,7139,6365,3765,4180,93,205,300,9172,7221
2990,Petro. Products NEC,2431,9724,12883,2696,2458,0,0,0,0,0,504,5282,10083,230,215,1927,4442,2800,2466,2243
3110,Nitrogenous Fert.,44225,2008,1548,12070,10458,0,0,0,0,0,44060,1177,1249,8549,8616,165,831,299,3521,1842
3120,Phosphatic Fert.,48,241,382,140,245,0,0,0,0,0,48,0,67,1,140,0,241,315,139,105
3130,Potassic Fert.,1692,6108,1930,2989,2427,0,0,0,0,0,1580,849,995,2567,1619,112,5259,935,422,808
3190,Fert. & Mixes NEC,12425,22073,26537,20342,25545,0,0,0,0,0,4105,10876,16507,9571,12601,8320,11197,10030,10771,12944
3211,Acyclic Hydrocarbons,1863,2325,940,4923,23139,0,0,0,0,0,1436,469,662,4434,20708,427,1856,278,489,2431
3212,Benzene & Toluene,834,872,195,83,30,0,0,0,0,0,684,714,123,76,1,150,158,72,7,29
3219,Other Hydrocarbons,13082,16664,37501,19677,18807,0,0,0,0,0,11973,13842,33733,15180,14277,1109,2822,3768,4497,4530
3220,Alcohols,71577,84372,128825,154106,236901,0,0,0,0,0,41548,67902,102635,133759,221281,30029,16470,26190,20347,15620
3230,Carboxylic Acids,87244,100368,107265,143458,141653,0,0,0,0,0,84751,96823,100795,120583,122989,2493,3545,6470,22875,18664
